age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
44.00,services,single,secondary,no,106.00,no,no,unknown,12.00,jun,109.00,2.00,-1.00,0.00,unknown,no
44.00,entrepreneur,married,secondary,no,93.00,no,no,cellular,7.00,jul,125.00,2.00,-1.00,0.00,unknown,no
26.00,housemaid,married,tertiary,no,543.00,no,no,cellular,30.00,jan,169.00,3.00,-1.00,0.00,unknown,no
41.00,management,married,tertiary,no,5883.00,no,no,cellular,20.00,nov,182.00,2.00,-1.00,0.00,unknown,no
55.00,blue-collar,married,primary,no,627.00,yes,no,unknown,5.00,may,247.00,1.00,-1.00,0.00,unknown,no
67.00,retired,married,unknown,no,696.00,no,no,telephone,17.00,aug,119.00,1.00,105.00,2.00,failure,no
56.00,self-employed,married,secondary,no,784.00,no,yes,cellular,30.00,jul,149.00,2.00,-1.00,0.00,unknown,no
53.00,admin.,married,secondary,no,105.00,no,yes,cellular,21.00,aug,74.00,2.00,-1.00,0.00,unknown,no
68.00,retired,divorced,secondary,no,4189.00,no,no,telephone,14.00,jul,897.00,2.00,-1.00,0.00,unknown,yes
31.00,technician,married,secondary,no,171.00,no,no,cellular,27.00,aug,81.00,3.00,-1.00,0.00,unknown,no
59.00,management,married,secondary,no,42.00,no,no,cellular,21.00,nov,40.00,1.00,-1.00,0.00,unknown,no
32.00,management,single,tertiary,no,2536.00,yes,no,cellular,26.00,aug,958.00,6.00,-1.00,0.00,unknown,yes
49.00,technician,married,tertiary,no,1235.00,no,no,cellular,13.00,aug,354.00,3.00,-1.00,0.00,unknown,yes
42.00,admin.,divorced,secondary,no,1811.00,yes,no,unknown,14.00,may,150.00,1.00,-1.00,0.00,unknown,no
78.00,retired,divorced,primary,no,229.00,no,no,telephone,22.00,oct,97.00,1.00,-1.00,0.00,unknown,yes
32.00,blue-collar,married,secondary,no,2089.00,yes,no,cellular,14.00,nov,132.00,1.00,-1.00,0.00,unknown,yes
33.00,management,married,secondary,no,3935.00,yes,no,cellular,6.00,may,765.00,1.00,342.00,2.00,failure,yes
23.00,services,single,tertiary,no,363.00,yes,no,unknown,30.00,may,16.00,18.00,-1.00,0.00,unknown,no
38.00,management,single,tertiary,no,11971.00,yes,no,unknown,17.00,nov,609.00,2.00,101.00,3.00,failure,no
36.00,management,single,tertiary,no,553.00,no,no,cellular,11.00,aug,106.00,2.00,-1.00,0.00,unknown,no
52.00,blue-collar,married,secondary,no,1117.00,yes,no,cellular,13.00,may,365.00,1.00,-1.00,0.00,unknown,no
32.00,technician,married,tertiary,no,396.00,yes,no,cellular,13.00,may,205.00,3.00,-1.00,0.00,unknown,no
32.00,technician,single,tertiary,no,2204.00,yes,no,cellular,21.00,nov,11.00,4.00,-1.00,0.00,unknown,no
34.00,management,single,tertiary,no,872.00,yes,no,unknown,7.00,may,105.00,2.00,-1.00,0.00,unknown,no
55.00,blue-collar,married,primary,no,145.00,no,no,telephone,2.00,feb,59.00,3.00,5.00,2.00,other,no
26.00,blue-collar,married,primary,no,0.00,yes,no,unknown,21.00,may,425.00,1.00,-1.00,0.00,unknown,no
32.00,entrepreneur,single,primary,yes,-849.00,yes,yes,cellular,4.00,feb,204.00,1.00,-1.00,0.00,unknown,no
61.00,admin.,married,unknown,no,4629.00,yes,no,cellular,27.00,jan,181.00,1.00,92.00,1.00,success,yes
45.00,blue-collar,divorced,primary,no,844.00,no,no,unknown,5.00,jun,1018.00,3.00,-1.00,0.00,unknown,yes
37.00,technician,single,secondary,no,228.00,yes,no,cellular,20.00,aug,1740.00,2.00,-1.00,0.00,unknown,no
38.00,technician,single,secondary,no,50.00,no,no,cellular,29.00,aug,98.00,2.00,-1.00,0.00,unknown,no
34.00,technician,married,tertiary,no,1539.00,yes,no,cellular,15.00,jun,441.00,1.00,56.00,1.00,other,yes
53.00,blue-collar,married,secondary,no,2231.00,yes,no,cellular,14.00,jul,272.00,3.00,-1.00,0.00,unknown,no
48.00,admin.,married,secondary,no,3064.00,yes,no,telephone,15.00,jul,159.00,2.00,-1.00,0.00,unknown,no
57.00,management,married,secondary,no,82.00,no,yes,telephone,4.00,feb,140.00,1.00,-1.00,0.00,unknown,no
33.00,self-employed,single,tertiary,no,2155.00,no,no,cellular,17.00,nov,295.00,1.00,-1.00,0.00,unknown,no
36.00,retired,single,secondary,no,101.00,yes,yes,unknown,26.00,may,314.00,1.00,-1.00,0.00,unknown,no
54.00,technician,divorced,secondary,no,784.00,yes,yes,unknown,15.00,may,579.00,1.00,-1.00,0.00,unknown,no
41.00,blue-collar,married,primary,no,-516.00,no,yes,telephone,8.00,jul,554.00,3.00,-1.00,0.00,unknown,no
63.00,retired,married,secondary,no,415.00,yes,no,cellular,7.00,oct,323.00,1.00,-1.00,0.00,unknown,no
48.00,management,married,tertiary,no,5887.00,no,no,cellular,13.00,aug,227.00,2.00,-1.00,0.00,unknown,no
48.00,services,married,secondary,no,1355.00,no,no,cellular,4.00,jul,134.00,2.00,-1.00,0.00,unknown,no
56.00,admin.,married,secondary,no,16873.00,no,no,cellular,7.00,oct,223.00,1.00,-1.00,0.00,unknown,no
51.00,blue-collar,divorced,secondary,no,203.00,yes,no,cellular,8.00,may,134.00,1.00,170.00,5.00,failure,no
31.00,services,married,secondary,no,338.00,yes,no,cellular,28.00,jan,155.00,1.00,-1.00,0.00,unknown,no
29.00,technician,married,secondary,no,444.00,yes,no,cellular,21.00,jul,130.00,4.00,-1.00,0.00,unknown,no
41.00,management,married,secondary,no,0.00,no,yes,cellular,7.00,jul,630.00,3.00,-1.00,0.00,unknown,no
32.00,technician,single,tertiary,no,360.00,no,no,cellular,19.00,nov,164.00,2.00,-1.00,0.00,unknown,no
37.00,management,married,tertiary,no,0.00,no,no,cellular,16.00,jul,268.00,2.00,182.00,3.00,success,yes
42.00,entrepreneur,divorced,tertiary,yes,2.00,yes,no,unknown,5.00,may,380.00,1.00,-1.00,0.00,unknown,no
31.00,management,single,tertiary,no,6248.00,yes,no,unknown,9.00,may,154.00,2.00,-1.00,0.00,unknown,no
41.00,services,married,tertiary,no,412.00,yes,no,unknown,3.00,jun,154.00,5.00,-1.00,0.00,unknown,no
56.00,retired,married,secondary,no,344.00,yes,no,unknown,15.00,may,221.00,1.00,-1.00,0.00,unknown,no
54.00,management,divorced,tertiary,no,3222.00,no,no,cellular,14.00,aug,67.00,2.00,-1.00,0.00,unknown,no
41.00,blue-collar,divorced,secondary,no,174.00,yes,no,cellular,14.00,may,367.00,2.00,297.00,1.00,other,no
40.00,technician,single,secondary,no,591.00,no,yes,cellular,14.00,aug,87.00,6.00,-1.00,0.00,unknown,no
50.00,blue-collar,divorced,primary,no,388.00,no,no,cellular,5.00,feb,701.00,1.00,-1.00,0.00,unknown,no
40.00,unemployed,married,secondary,no,219.00,yes,no,cellular,17.00,nov,204.00,2.00,196.00,1.00,failure,no
27.00,admin.,divorced,secondary,no,451.00,yes,no,cellular,16.00,jul,652.00,1.00,-1.00,0.00,unknown,yes
60.00,retired,married,primary,no,5.00,no,no,cellular,26.00,aug,63.00,2.00,-1.00,0.00,unknown,no
28.00,admin.,single,secondary,no,177.00,yes,yes,cellular,6.00,may,150.00,1.00,-1.00,0.00,unknown,no
52.00,services,married,secondary,no,657.00,no,no,telephone,7.00,jul,398.00,2.00,460.00,2.00,failure,yes
37.00,management,married,tertiary,no,1315.00,no,no,cellular,30.00,jun,224.00,1.00,-1.00,0.00,unknown,yes
51.00,blue-collar,married,primary,no,1466.00,yes,no,unknown,7.00,may,406.00,2.00,-1.00,0.00,unknown,no
41.00,technician,single,secondary,no,879.00,no,yes,cellular,7.00,jul,60.00,4.00,-1.00,0.00,unknown,no
35.00,blue-collar,single,primary,no,293.00,yes,no,unknown,30.00,may,521.00,2.00,-1.00,0.00,unknown,no
38.00,admin.,married,secondary,no,424.00,yes,no,cellular,17.00,apr,279.00,1.00,-1.00,0.00,unknown,no
34.00,blue-collar,married,secondary,no,1831.00,yes,no,unknown,20.00,may,203.00,2.00,-1.00,0.00,unknown,no
39.00,blue-collar,married,primary,no,111.00,no,no,cellular,18.00,nov,201.00,2.00,-1.00,0.00,unknown,no
34.00,blue-collar,married,primary,no,455.00,yes,no,unknown,20.00,jun,372.00,3.00,-1.00,0.00,unknown,no
27.00,services,single,secondary,no,-195.00,yes,no,cellular,18.00,may,391.00,1.00,-1.00,0.00,unknown,yes
32.00,management,single,tertiary,no,3616.00,no,no,cellular,14.00,aug,165.00,2.00,-1.00,0.00,unknown,no
57.00,blue-collar,married,secondary,no,14093.00,no,no,cellular,11.00,aug,231.00,5.00,-1.00,0.00,unknown,no
41.00,unknown,single,tertiary,no,1567.00,no,no,cellular,1.00,jul,291.00,2.00,-1.00,0.00,unknown,no
41.00,admin.,married,tertiary,no,5426.00,yes,no,unknown,14.00,may,149.00,2.00,-1.00,0.00,unknown,no
30.00,admin.,single,tertiary,no,261.00,no,no,cellular,19.00,oct,233.00,1.00,137.00,20.00,failure,no
36.00,blue-collar,divorced,secondary,no,2843.00,no,no,cellular,12.00,feb,473.00,1.00,182.00,1.00,success,no
31.00,unemployed,single,primary,no,406.00,no,no,cellular,4.00,feb,736.00,1.00,-1.00,0.00,unknown,yes
36.00,blue-collar,married,secondary,no,0.00,yes,no,unknown,6.00,may,337.00,1.00,-1.00,0.00,unknown,no
38.00,management,single,tertiary,no,493.00,yes,no,cellular,11.00,may,553.00,1.00,367.00,7.00,failure,no
49.00,technician,married,secondary,no,5996.00,no,no,telephone,21.00,nov,345.00,2.00,-1.00,0.00,unknown,no
57.00,services,single,primary,no,3777.00,yes,no,telephone,13.00,may,65.00,2.00,-1.00,0.00,unknown,no
34.00,management,single,secondary,no,524.00,no,no,unknown,13.00,aug,9.00,1.00,-1.00,0.00,unknown,no
32.00,management,single,tertiary,no,574.00,yes,no,cellular,14.00,apr,259.00,2.00,145.00,3.00,failure,no
37.00,blue-collar,married,secondary,no,427.00,yes,yes,unknown,9.00,jun,371.00,3.00,-1.00,0.00,unknown,no
33.00,self-employed,married,tertiary,no,483.00,yes,no,cellular,3.00,feb,280.00,2.00,-1.00,0.00,unknown,no
56.00,unemployed,married,primary,no,3391.00,no,no,cellular,21.00,apr,243.00,1.00,-1.00,0.00,unknown,yes
27.00,housemaid,married,primary,no,0.00,yes,no,cellular,23.00,jul,435.00,3.00,-1.00,0.00,unknown,no
21.00,student,single,secondary,no,2488.00,no,no,cellular,30.00,jun,258.00,6.00,169.00,3.00,success,yes
58.00,management,married,tertiary,no,1517.00,yes,no,telephone,29.00,jul,7.00,5.00,-1.00,0.00,unknown,no
32.00,self-employed,married,secondary,no,217.00,yes,yes,cellular,15.00,jul,317.00,5.00,-1.00,0.00,unknown,no
33.00,blue-collar,single,secondary,no,22.00,no,no,cellular,30.00,jan,76.00,2.00,207.00,1.00,failure,no
25.00,student,single,secondary,no,331.00,no,no,telephone,26.00,aug,170.00,4.00,-1.00,0.00,unknown,yes
25.00,technician,single,secondary,no,505.00,no,yes,cellular,17.00,nov,386.00,2.00,-1.00,0.00,unknown,yes
30.00,services,married,secondary,no,1808.00,yes,no,cellular,18.00,may,83.00,2.00,-1.00,0.00,unknown,no
22.00,admin.,single,secondary,no,4111.00,no,yes,cellular,19.00,aug,65.00,1.00,-1.00,0.00,unknown,no
39.00,blue-collar,married,primary,no,52.00,no,no,cellular,13.00,aug,69.00,1.00,-1.00,0.00,unknown,no
46.00,management,divorced,tertiary,no,25.00,no,no,unknown,17.00,jun,564.00,2.00,-1.00,0.00,unknown,no
31.00,admin.,divorced,secondary,no,1890.00,yes,no,cellular,21.00,jul,588.00,1.00,-1.00,0.00,unknown,no
45.00,blue-collar,married,primary,no,419.00,no,no,cellular,18.00,aug,113.00,4.00,-1.00,0.00,unknown,no
32.00,technician,married,secondary,no,2693.00,yes,no,unknown,21.00,may,16.00,1.00,-1.00,0.00,unknown,no
36.00,blue-collar,married,secondary,no,-231.00,no,yes,cellular,15.00,jul,779.00,2.00,-1.00,0.00,unknown,no
51.00,management,single,tertiary,yes,-55.00,yes,no,cellular,11.00,may,281.00,2.00,266.00,6.00,failure,no
34.00,self-employed,single,tertiary,no,462.00,no,no,cellular,21.00,aug,1877.00,3.00,-1.00,0.00,unknown,yes
24.00,unemployed,single,secondary,no,119.00,no,no,unknown,15.00,sep,51.00,1.00,-1.00,0.00,unknown,no
45.00,technician,single,secondary,no,586.00,no,yes,cellular,28.00,jul,32.00,3.00,-1.00,0.00,unknown,no
32.00,blue-collar,single,secondary,no,228.00,no,no,telephone,5.00,feb,176.00,1.00,288.00,3.00,failure,no
77.00,retired,divorced,tertiary,no,4659.00,no,no,cellular,14.00,apr,161.00,1.00,-1.00,0.00,unknown,yes
41.00,blue-collar,married,primary,no,168.00,yes,no,cellular,18.00,nov,187.00,3.00,-1.00,0.00,unknown,no
37.00,blue-collar,married,primary,no,0.00,yes,no,unknown,26.00,may,24.00,1.00,-1.00,0.00,unknown,no
43.00,blue-collar,married,unknown,yes,-715.00,yes,no,unknown,30.00,may,67.00,3.00,-1.00,0.00,unknown,no
48.00,admin.,married,unknown,no,0.00,yes,no,cellular,8.00,may,85.00,1.00,168.00,2.00,failure,no
27.00,technician,single,secondary,no,769.00,yes,no,unknown,9.00,may,317.00,2.00,-1.00,0.00,unknown,no
33.00,management,single,tertiary,no,0.00,no,no,cellular,28.00,aug,236.00,10.00,-1.00,0.00,unknown,no
29.00,admin.,single,secondary,no,428.00,yes,yes,cellular,7.00,may,54.00,1.00,345.00,2.00,failure,no
34.00,management,single,tertiary,no,0.00,no,no,cellular,5.00,feb,71.00,1.00,-1.00,0.00,unknown,no
52.00,management,married,tertiary,no,-970.00,yes,no,cellular,4.00,feb,489.00,1.00,-1.00,0.00,unknown,yes
60.00,management,married,unknown,no,6313.00,no,no,unknown,19.00,jun,39.00,2.00,-1.00,0.00,unknown,no
32.00,management,divorced,tertiary,no,948.00,no,no,cellular,12.00,aug,204.00,2.00,-1.00,0.00,unknown,no
32.00,management,single,tertiary,no,0.00,yes,no,cellular,22.00,jul,455.00,2.00,-1.00,0.00,unknown,no
56.00,services,divorced,unknown,no,1877.00,yes,no,unknown,30.00,may,86.00,1.00,-1.00,0.00,unknown,no
31.00,management,single,tertiary,no,874.00,yes,no,cellular,18.00,nov,190.00,2.00,-1.00,0.00,unknown,no
42.00,admin.,married,secondary,no,323.00,yes,yes,unknown,8.00,may,280.00,2.00,-1.00,0.00,unknown,no
35.00,management,married,tertiary,no,106.00,no,yes,cellular,11.00,aug,588.00,2.00,-1.00,0.00,unknown,no
56.00,retired,married,primary,no,1906.00,no,yes,unknown,19.00,jun,45.00,9.00,-1.00,0.00,unknown,no
48.00,technician,married,secondary,no,1152.00,yes,no,cellular,21.00,jul,168.00,5.00,-1.00,0.00,unknown,no
46.00,admin.,married,secondary,no,179.00,yes,no,cellular,29.00,jan,194.00,4.00,436.00,1.00,other,no
37.00,technician,single,unknown,no,391.00,yes,no,unknown,8.00,may,103.00,3.00,-1.00,0.00,unknown,no
41.00,entrepreneur,married,unknown,no,89.00,yes,no,unknown,6.00,may,333.00,2.00,-1.00,0.00,unknown,no
36.00,management,single,tertiary,no,442.00,yes,yes,cellular,29.00,jul,102.00,3.00,-1.00,0.00,unknown,no
45.00,unemployed,divorced,primary,yes,-249.00,yes,yes,unknown,1.00,jul,92.00,1.00,-1.00,0.00,unknown,no
55.00,entrepreneur,married,secondary,no,8104.00,no,no,cellular,6.00,feb,213.00,2.00,-1.00,0.00,unknown,no
39.00,technician,married,secondary,no,501.00,no,no,unknown,26.00,may,289.00,1.00,-1.00,0.00,unknown,no
35.00,technician,divorced,secondary,no,308.00,no,no,cellular,22.00,aug,77.00,2.00,-1.00,0.00,unknown,no
55.00,admin.,married,secondary,no,602.00,no,no,cellular,1.00,jun,324.00,3.00,90.00,2.00,success,yes
55.00,technician,married,secondary,no,273.00,yes,no,cellular,29.00,jan,84.00,3.00,183.00,3.00,failure,no
27.00,self-employed,single,secondary,no,50.00,no,no,cellular,29.00,jan,168.00,1.00,-1.00,0.00,unknown,no
34.00,technician,married,secondary,no,1641.00,yes,no,cellular,17.00,apr,380.00,1.00,-1.00,0.00,unknown,no
34.00,blue-collar,married,tertiary,no,20.00,no,no,unknown,4.00,oct,10.00,1.00,-1.00,0.00,unknown,no
25.00,admin.,single,secondary,no,4590.00,yes,no,unknown,28.00,may,199.00,2.00,-1.00,0.00,unknown,no
41.00,admin.,single,secondary,no,-256.00,no,yes,unknown,9.00,may,35.00,3.00,-1.00,0.00,unknown,no
43.00,services,married,secondary,no,978.00,yes,yes,unknown,26.00,may,82.00,2.00,-1.00,0.00,unknown,no
28.00,management,single,tertiary,no,80.00,no,no,cellular,20.00,oct,676.00,2.00,146.00,2.00,failure,yes
31.00,admin.,single,secondary,no,2104.00,yes,no,unknown,3.00,jun,455.00,1.00,-1.00,0.00,unknown,no
78.00,housemaid,married,secondary,no,499.00,no,no,telephone,16.00,mar,80.00,4.00,-1.00,0.00,unknown,no
45.00,blue-collar,divorced,secondary,no,1269.00,yes,no,cellular,29.00,jan,549.00,2.00,-1.00,0.00,unknown,no
48.00,technician,married,tertiary,no,310.00,no,no,unknown,6.00,may,135.00,1.00,-1.00,0.00,unknown,no
32.00,blue-collar,single,secondary,no,1143.00,yes,yes,cellular,10.00,jul,412.00,1.00,-1.00,0.00,unknown,no
42.00,technician,married,secondary,no,2980.00,no,no,unknown,20.00,jun,101.00,3.00,-1.00,0.00,unknown,no
37.00,management,single,tertiary,no,37.00,no,no,cellular,28.00,jan,253.00,2.00,-1.00,0.00,unknown,no
40.00,admin.,single,secondary,no,462.00,yes,yes,cellular,6.00,apr,272.00,1.00,335.00,4.00,other,no
32.00,admin.,married,secondary,no,1031.00,yes,no,cellular,17.00,jul,84.00,1.00,-1.00,0.00,unknown,no
42.00,management,married,tertiary,no,9009.00,no,no,cellular,20.00,nov,135.00,2.00,-1.00,0.00,unknown,no
43.00,admin.,married,secondary,no,-465.00,yes,yes,cellular,23.00,jul,166.00,1.00,-1.00,0.00,unknown,no
44.00,admin.,married,secondary,no,5181.00,yes,yes,cellular,31.00,jul,18.00,7.00,-1.00,0.00,unknown,no
37.00,admin.,married,secondary,no,176.00,yes,no,cellular,5.00,may,147.00,2.00,347.00,1.00,failure,no
37.00,unknown,married,unknown,no,1699.00,no,no,unknown,9.00,jun,63.00,1.00,-1.00,0.00,unknown,no
37.00,admin.,married,tertiary,no,0.00,yes,no,cellular,17.00,nov,65.00,2.00,119.00,1.00,failure,no
28.00,technician,single,tertiary,no,172.00,yes,yes,cellular,2.00,feb,194.00,2.00,-1.00,0.00,unknown,no
32.00,services,single,secondary,no,0.00,no,yes,cellular,11.00,jul,333.00,2.00,-1.00,0.00,unknown,no
34.00,admin.,single,secondary,no,6979.00,yes,no,cellular,15.00,may,14.00,5.00,-1.00,0.00,unknown,no
40.00,admin.,divorced,secondary,no,6.00,no,no,unknown,11.00,jun,140.00,1.00,-1.00,0.00,unknown,no
34.00,services,married,secondary,no,-62.00,yes,no,unknown,16.00,jun,109.00,3.00,-1.00,0.00,unknown,no
34.00,self-employed,married,tertiary,no,1972.00,yes,no,cellular,23.00,jul,61.00,2.00,-1.00,0.00,unknown,no
34.00,admin.,married,tertiary,no,899.00,yes,no,telephone,19.00,nov,377.00,3.00,7.00,4.00,success,no
37.00,services,single,secondary,no,21.00,yes,no,cellular,2.00,feb,96.00,1.00,271.00,2.00,other,no
36.00,technician,married,secondary,no,23.00,yes,no,cellular,8.00,may,152.00,2.00,347.00,1.00,failure,no
56.00,retired,married,secondary,no,-1206.00,yes,no,cellular,15.00,jun,382.00,2.00,-1.00,0.00,unknown,yes
49.00,blue-collar,married,primary,no,0.00,yes,yes,telephone,23.00,jul,97.00,6.00,-1.00,0.00,unknown,no
33.00,self-employed,married,secondary,no,215.00,yes,no,cellular,29.00,jul,543.00,12.00,-1.00,0.00,unknown,no
30.00,management,single,tertiary,no,1372.00,no,no,cellular,20.00,nov,240.00,2.00,-1.00,0.00,unknown,no
36.00,services,married,secondary,no,1981.00,no,no,unknown,17.00,jun,48.00,2.00,-1.00,0.00,unknown,no
23.00,student,single,secondary,no,9216.00,no,no,cellular,5.00,jun,471.00,2.00,-1.00,0.00,unknown,no
57.00,retired,divorced,secondary,no,39.00,yes,no,cellular,30.00,jul,354.00,3.00,-1.00,0.00,unknown,no
27.00,blue-collar,single,secondary,no,5563.00,yes,no,unknown,30.00,may,435.00,2.00,-1.00,0.00,unknown,no
38.00,services,married,secondary,no,1.00,no,yes,cellular,21.00,nov,152.00,2.00,-1.00,0.00,unknown,no
42.00,technician,married,tertiary,no,782.00,no,no,cellular,3.00,apr,285.00,1.00,-1.00,0.00,unknown,no
75.00,retired,married,secondary,no,3771.00,no,no,telephone,15.00,apr,185.00,1.00,181.00,2.00,success,yes
34.00,technician,single,tertiary,no,992.00,yes,no,cellular,4.00,may,301.00,1.00,88.00,2.00,success,no
48.00,technician,married,secondary,no,1526.00,no,no,cellular,6.00,aug,273.00,2.00,-1.00,0.00,unknown,no
35.00,technician,single,tertiary,no,2658.00,yes,no,cellular,19.00,aug,768.00,2.00,141.00,3.00,failure,yes
39.00,management,divorced,tertiary,no,1315.00,yes,no,cellular,19.00,nov,1337.00,4.00,126.00,1.00,failure,no
29.00,blue-collar,single,tertiary,no,455.00,no,no,telephone,21.00,apr,403.00,1.00,-1.00,0.00,unknown,yes
45.00,technician,single,tertiary,no,0.00,yes,no,cellular,18.00,nov,139.00,2.00,-1.00,0.00,unknown,no
42.00,technician,married,secondary,no,2030.00,yes,yes,cellular,9.00,jul,196.00,1.00,-1.00,0.00,unknown,no
29.00,technician,married,secondary,no,1599.00,yes,no,cellular,8.00,jul,115.00,1.00,61.00,1.00,failure,no
38.00,services,single,secondary,no,-196.00,yes,no,cellular,2.00,feb,60.00,1.00,271.00,1.00,failure,no
56.00,retired,married,secondary,no,1333.00,no,no,cellular,28.00,aug,17.00,14.00,-1.00,0.00,unknown,no
36.00,technician,single,secondary,no,9149.00,yes,no,cellular,13.00,aug,141.00,3.00,-1.00,0.00,unknown,no
25.00,blue-collar,single,secondary,no,-350.00,yes,no,unknown,23.00,jun,95.00,3.00,-1.00,0.00,unknown,no
38.00,technician,married,tertiary,no,432.00,yes,no,cellular,15.00,may,10.00,2.00,373.00,1.00,other,no
57.00,self-employed,married,secondary,no,11494.00,no,no,cellular,19.00,nov,198.00,1.00,-1.00,0.00,unknown,no
31.00,management,married,tertiary,yes,-253.00,no,no,cellular,12.00,aug,220.00,4.00,-1.00,0.00,unknown,no
42.00,management,married,tertiary,no,372.00,yes,no,cellular,3.00,aug,654.00,2.00,-1.00,0.00,unknown,yes
45.00,technician,married,secondary,no,1410.00,no,no,cellular,11.00,aug,71.00,2.00,-1.00,0.00,unknown,no
30.00,blue-collar,married,secondary,no,975.00,yes,no,cellular,13.00,may,256.00,2.00,351.00,2.00,failure,no
49.00,blue-collar,married,primary,no,305.00,yes,yes,telephone,10.00,jul,834.00,10.00,-1.00,0.00,unknown,no
49.00,services,married,secondary,no,400.00,no,no,cellular,21.00,aug,151.00,3.00,-1.00,0.00,unknown,no
53.00,retired,married,tertiary,no,-22.00,yes,no,cellular,31.00,jul,20.00,3.00,-1.00,0.00,unknown,no
37.00,technician,married,secondary,no,4030.00,yes,no,unknown,26.00,may,178.00,5.00,-1.00,0.00,unknown,no
49.00,blue-collar,married,primary,no,365.00,no,no,unknown,26.00,may,59.00,2.00,-1.00,0.00,unknown,no
41.00,self-employed,married,primary,no,204.00,no,no,cellular,13.00,aug,111.00,7.00,-1.00,0.00,unknown,no
54.00,management,married,primary,no,1691.00,yes,no,cellular,20.00,nov,186.00,1.00,-1.00,0.00,unknown,no
32.00,services,single,secondary,no,406.00,yes,no,unknown,6.00,may,227.00,1.00,-1.00,0.00,unknown,no
33.00,technician,married,secondary,no,-204.00,no,no,cellular,15.00,may,297.00,3.00,-1.00,0.00,unknown,no
33.00,technician,married,secondary,no,359.00,yes,no,cellular,20.00,apr,210.00,1.00,242.00,1.00,other,no
36.00,blue-collar,married,primary,no,123.00,yes,no,cellular,18.00,may,9.00,1.00,-1.00,0.00,unknown,no
35.00,technician,married,tertiary,no,0.00,yes,yes,cellular,23.00,sep,112.00,1.00,62.00,6.00,other,no
52.00,unknown,married,secondary,no,142.00,no,no,cellular,25.00,aug,112.00,6.00,-1.00,0.00,unknown,no
40.00,entrepreneur,married,tertiary,no,3571.00,no,no,unknown,9.00,jun,222.00,3.00,-1.00,0.00,unknown,no
44.00,technician,single,secondary,no,33.00,yes,no,cellular,13.00,may,195.00,3.00,351.00,10.00,failure,no
45.00,blue-collar,single,secondary,no,0.00,yes,no,cellular,26.00,jul,768.00,2.00,91.00,5.00,success,no
30.00,student,single,secondary,no,3096.00,no,no,cellular,26.00,jan,123.00,1.00,-1.00,0.00,unknown,no
48.00,technician,divorced,secondary,yes,20.00,no,no,cellular,27.00,aug,145.00,3.00,-1.00,0.00,unknown,no
33.00,blue-collar,married,secondary,no,3576.00,yes,no,cellular,2.00,apr,124.00,1.00,308.00,2.00,other,no
